Invoice Output Date,Distributor Code,Invoice Number,Distributor Reference Number,Number Of Items,Total Amount,
14/02/2015,536C,21453,,22,4717.59,
12/02/2015,536C,21442,,13,2887.04,
16/02/2015,536C,21484,,3,36038.00,
16/02/2015,536C,21485,,17,2086.54,
16/02/2015,555J,21472,,1,124400.00,
07/03/2019,575N,45386,,1,34400.00,
06/03/2019,536C,45377,,1,32600.00,
06/03/2019,536C,45378,,1,32600.00,
07/03/2019,536C,45435,,1,24450.00,
25/04/2020,536C,54922,,36,8886.51,
25/04/2020,536C-AAQ,54923,,9,3188.29,
25/04/2020,536C-SP,54924,,67,10400.33,
11/02/2015,536C,21423,,1,23440.00,
13/06/2021,536C,59498,,32,2180.20,
18/02/2015,536C,21522,,2,18960.00,
18/02/2015,536C,21529,,13,544.35,
19/02/2015,536C,21546,,12,4114.19,
17/02/2015,536C,21509,,6,1208.53,
18/10/2016,536C,31208,,3,1302.34,
30/07/2017,536C,35595,,4,534.30,
31/07/2017,536C,35630,,7,1050.61,
01/08/2017,536C,35645,,2,8148.63,
03/08/2017,536C,35669,,11,208.80,
16/06/2016,536C,29275,,3,317.36,
22/06/2016,555R,29345,,4,58189.38,
22/06/2016,555R,29349,,6,66820.80,
13/10/2016,536C,31143,,1,9940.00,
26/02/2020,536C,53839,,1,11794.22,
04/08/2015,536C,24094,,4,1254.45,
05/08/2015,536C,24112,,4,222.89,
08/08/2015,536C,24132,,10,11005.64,
13/06/2015,536C,23299,,7,2468.16,
16/06/2015,9999,23366,,3,529.46,
15/06/2015,536C,23346,,8,4801.91,
16/06/2015,536C,23363,,8,6442.90,
17/06/2015,536C,23384,,2,59.73,
20/06/2015,536C,23410,,14,7408.22,
20/06/2015,536C,23411,,22,3144.24,
06/08/2015,536C,24131,,60,17096.94,
10/08/2015,536C,24194,,161,37074.49,
26/10/2015,536C,25373,,14,1157.83,
28/10/2015,536C,25407,,6,227.83,
31/10/2015,536C,25432,,13,497.92,
02/07/2015,536C,23605,,5,218.84,
02/07/2015,536C,23621,,18,913.70,
04/07/2015,536C,23633,,12,2749.42,
07/07/2015,9999,23676,,1,1347.64,
07/07/2015,536C,23670,,15,7061.48,
07/09/2015,536C,24643,,1,11046.00,
07/09/2015,536C,24644,,3,37678.00,
07/09/2015,536C,24645,,2,3709.31,
08/09/2015,536C,24669,,6,2439.88,
19/03/2015,536C,21987,,6,1392.86,
23/03/2015,536C,22039,,5,36038.00,
23/03/2015,536C,22042,,20,3355.59,
21/03/2015,536C,21989,,25,5333.07,
24/02/2016,536C,27324,,4,703.99,
05/11/2015,536C,25534,,2,18006.00,
12/07/2017,536C,35347,,3,3165.53,
16/07/2017,536C,35397,,2,409.47,
13/07/2017,536C,35371,,5,2722.64,
29/06/2015,536C,23567,,2,17064.00,
29/06/2015,536C,23568,,4,39206.00,
30/06/2015,536C,23569,,25,4361.20,
05/07/2015,555J,23649,,1,86040.00,
10/11/2015,536C,25606,,3,2096.86,
30/10/2014,536C,19884,,25,2976.10,
04/11/2014,536C,19942,,42,16000.45,
30/05/2016,536C,28974,,3,134400.00,
23/06/2016,536C,29362,,1,4922.49,
19/10/2017,536C,36761,,5,193.30,
19/10/2017,536C,36789,,5,709.24,
19/10/2017,536C,36790,,3,30005.12,
22/10/2017,536C,36813,,5,125.12,
10/11/2016,536C,31610,,21,647.61,
10/11/2016,536C,31626,,1,50.67,
15/11/2016,536C,31699,,4,465.92,
26/05/2015,536C,23016,,5,662.30,
30/05/2015,536C,23054,,27,6471.37,
27/05/2015,536C,23034,,3,370.92,
28/05/2015,536C,23052,,13,3047.82,
07/12/2015,536C,26024,,9,1099.09,
08/12/2015,536C,26035,,11,6941.19,
16/09/2015,536C,24792,,4,153.51,
17/09/2015,536C,24809,,3,544.77,
20/12/2017,536C,37689,,3,30501.24,
