Line No,Subordinate No,CTO,Requested Part No,Processed Part No,Description,Quantity,Accepted Quantity,Unit Price,Price Amount,Tax Rate,Tax Amount,Reserved Quantity,Available Stock,Selling Price,Weight,
1,0,ZZ,600-181-4212,600-181-4212,ELEMENT,100,0,13.53,1353.00,0.05,67.65,,100,1420.65,400000,
2,0,ZZ,600-181-4300,600-181-4300,ELEMENT ASS'Y,150,0,25.86,3879.00,0.05,193.95,,139,4072.95,1185000,
3,0,ZZ,E600-411-1030,E600-411-1030,FILTER,100,0,9.87,987.00,0.05,49.35,,0,1036.35,200,
4,0,ZZ,6125-81-7032,6125-81-7032,ELEMENT ASS'Y,300,0,38.98,11694.00,0.05,584.70,,300,12278.70,2700000,
5,0,ZZ,6120-50-5103,6120-50-5103,ELEMENT ASS'Y,50,0,6.79,339.50,0.05,16.98,,0,356.48,45000,
6,0,ZZ,6610-72-8600,6610-72-8600,ELEMENT,50,0,5.80,290.00,0.05,14.50,,50,304.50,35000,
7,0,ZZ,YM120324-55760,YM120324-55760,ELEMENT,20,0,11.66,233.20,0.05,11.66,,20,244.86,5680,
8,0,ZZ,YM119000-55601,YM119000-55601,FILTER,50,0,6.75,337.50,0.05,16.88,,0,354.38,44000,
9,0,ZZ,YM119005-35151,YM119005-35151,CARTRIDGE,75,0,11.15,836.25,0.05,41.81,,11,878.06,57000,
10,0,ZZ,YM129150-35152,YM129150-35153,CARTRIDGE,100,0,7.01,701.00,0.05,35.05,,100,736.05,76400,
11,0,ZZ,07063-01054,07063-01054,ELEMENT,120,0,6.12,734.40,0.05,36.72,,120,771.12,127200,
12,0,ZZ,07063-01100,07063-01100,ELEMENT,800,0,7.88,6304.00,0.05,315.20,,800,6619.20,1888000,
13,0,ZZ,07063-01142,07063-01142,ELEMENT,1000,0,8.97,8970.00,0.05,448.50,,1000,9418.50,2000000,
14,0,ZZ,07063-01383,07063-01383,ELEMENT,60,0,31.96,1917.60,0.05,95.88,,60,2013.48,336000,
24,0,ZZ,561-02-62530,561-02-62530,ELEMENT,60,0,35.15,2109.00,0.05,105.45,,40,2214.45,525840,
25,0,ZZ,17M-911-3530,17M-911-3530,ELEMENT,50,0,23.48,1174.00,0.05,58.70,,50,1232.70,21000,
26,0,ZZ,600-181-1600,600-181-1600,ELEMENT ASS'Y,300,0,44.38,13314.00,0.05,665.70,,300,13979.70,2718000,
27,0,ZZ,600-181-9450,600-181-9450,ELEMENT,20,0,39.20,784.00,0.05,39.20,,20,823.20,76880,
28,0,ZZ,600-182-3300,600-182-3300,ELEMENT,50,0,85.18,4259.00,0.05,212.95,,41,4471.95,462000,
29,0,ZZ,600-185-6110,600-185-6110,ELEMENT,80,0,46.79,3743.20,0.05,187.16,,80,3930.36,716960,
30,0,ZZ,600-211-1340,600-211-1340,CARTRIDGE,1200,0,34.56,41472.00,0.05,2073.60,,1200,43545.60,5196000,
15,0,ZZ,07063-51383,07063-51383,ELEMENT,50,0,76.30,3815.00,0.05,190.75,,50,4005.75,280000,
16,0,ZZ,20Y-60-21470,20Y-60-21470,ELEMENT,400,0,1.84,736.00,0.05,36.80,,400,772.80,8000,
17,0,ZZ,207-970-5121,207-970-5121,ELEMENT,50,0,85.93,4296.50,0.05,214.83,,50,4511.33,100000,
18,0,ZZ,281-16-11290,281-16-11290,ELEMENT,300,0,6.21,1863.00,0.05,93.15,,300,1956.15,480000,
19,0,ZZ,285-62-17320,285-62-17320,ELEMENT,30,0,6.21,186.30,0.05,9.32,,30,195.62,4200,
20,0,ZZ,22E-60-12212,22E-60-12212,FILTER,20,0,27.52,550.40,0.05,27.52,,13,577.92,40,
21,0,ZZ,419-15-16930,419-15-16930,ELEMENT,20,0,13.35,267.00,0.05,13.35,,20,280.35,1200,
22,0,ZZ,424-16-11140,424-16-11140,ELEMENT,1000,0,7.40,7400.00,0.05,370.00,,1000,7770.00,1000000,
23,0,ZZ,561-02-62520,561-02-62520,ELEMENT,50,0,16.15,807.50,0.05,40.38,,16,847.88,202500,
