Invoice Output Date,Distributor Code,Invoice Number,Distributor Reference Number,Number Of Items,Total Amount,
11/09/2021,9963,60756,,4,27.60,
10/02/2021,536C,60696,KME-536C-777-21,115,26960.73,
10/02/2021,536C,60697,KME-536C-778-21,22,9884.53,
10/02/2021,522K,60698,KME-522K-832-21,12,8575.27,
10/02/2021,533K,60699,KME-533K-354-21,5,988.14,
10/02/2021,555J,60700,KME-555J-963-21,63,10967.42,
10/02/2021,555J,60701,KME-555J-964-21,135,72413.50,
10/02/2021,555J,60702,KME-555J-965-21,24,7564.23,
10/02/2021,555J,60703,KME-555J-966-21,282,73344.81,
10/03/2021,522K,60718,INVOICE NO. KME-522K-833-21,183,92388.58,
10/03/2021,9111,60719,INVOICE NO. KME-9111-439-21,10,1582.16,
10/04/2021,533K,60727,INVOICE NO. KME-533K-355-21,17,2684.60,
10/04/2021,9111,60728,INVOICE NO. KME-9111-440-21,3,983.87,
10/04/2021,575N,60731,INVOICE NO. KME-575N-122-21,10,6570.56,
10/05/2021,533K,60735,INVOICE NO. KME-533K-356-21,10,580.41,
10/05/2021,536K,60741,KME-536K-154-21,26,11087.54,
10/06/2021,532K,60745,KME-532K-055-21,20,2899.31,
10/06/2021,536C,60752,KME-536C-REG-789-21,71,30953.81,
11/05/2021,9963,60755,,5,108.21,
10/02/2021,555J,60704,KME-555J-967-21,426,137903.13,
10/02/2021,555J,60705,KME-555J-968-21,2,59.24,
10/02/2021,555J,60706,KME-555J-969-21,2,191.80,
10/02/2021,555J,60707,KME-555J-970-21,4,1564.93,
10/02/2021,555J,60708,KME-555J-971-21,4,261.70,
10/02/2021,555J,60709,KME-555J-972-21,9,2508.86,
10/02/2021,9111,60710,KME-9111-438-21,3,1329.98,
10/02/2021,536C,60711,KME-536C-779-21,100,24503.11,
10/06/2021,522K,60746,INVOICE NO. KME-522K-834-21,8,3846.54,
10/03/2021,536C,60712,KME-536C-REG-780-21,223,67544.15,
10/03/2021,555J,60713,KME-555J-973-21,1,250.14,
10/03/2021,555J,60714,KME-555J-974-21,1,39.60,
10/03/2021,555J,60715,KME-555J-975-21,5,2215.23,
10/03/2021,555J,60716,KME-555J-976-21,10,1081.51,
10/03/2021,532K,60717,KME-532K-054-21,9,3904.92,
10/03/2021,536C,60720,KME-536C-REG-781-21,8,71617.90,
10/03/2021,9721,60722,KME-9721-101-21PO NO.410013998,1,39.71,
10/03/2021,536C,60725,KME-536C-REG-782-21,136,21804.69,
10/04/2021,9461,60729,KME-9461-003-21PO_4502352103 20 101,1,52640.00,
10/03/2021,9361,60721,INVOICE NO. KME-9361-227-21,1,314.76,
10/03/2021,575N,60723,INVOICE NO. KME-575N-121-21,80,18270.17,
10/03/2021,9961T,60724,INVOICE NO. KME-9961T-036-21,14,2389.98,
10/04/2021,536C,60726,KME-536C-REG-783-21,114,49394.05,
10/04/2021,536C,60730,KME-536C-REG-784-21,37,70812.69,
10/04/2021,536C,60732,KME-536C-REG-785-21,82,48252.28,
10/04/2021,530L,60733,KME-530L-571-21,7,1910.76,
10/04/2021,530L,60734,KME-530L-572-21,1,1068.59,
10/05/2021,536C,60736,KME-536C-REG-786-21,143,78507.30,
10/05/2021,555J,60737,KME-555J-977-21,1,926.06,
10/05/2021,555J,60738,KME-555J-978-21,1,581.10,
10/05/2021,555J,60739,KME-555J-979-21,13,2648.17,
10/05/2021,555J,60740,KME-555J-980-21,17,6285.04,
10/05/2021,9963,60742,,55,1924.25,
10/05/2021,536C,60743,KME-536C-REG-787-21,68,27103.73,
10/06/2021,536C,60744,KME-536C-REG-788-21,164,77077.45,
10/06/2021,9111,60747,INVOICE NO. KME-9111-437-21,1,291.90,
10/06/2021,555J,60748,KME-555J-981-21,1,104.68,
10/06/2021,555J,60749,KME-555J-982-21,7,1161.83,
10/06/2021,555J,60750,KME-555J-983-21,2,157.21,
10/06/2021,555J,60751,KME-555J-984-21,3,1137.96,
