Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,111,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,09/11/2021,
00,,111,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,09/11/2021,
00,,Test2,5242,REG,M/s. Doverfield Exports (Middle East) F.Z.C.,admin,In-Process,0.00,USD,09/11/2021,
00,,123,522K,REG,Saud Bahwan Projects and Equipment LLC,admin,In-Process,0.00,USD,05/11/2021,
00,,321,522K,REG,Saud Bahwan Projects and Equipment LLC,admin,In-Process,0.53,USD,05/11/2021,
00,,JBL-KME-SO-0610-4769,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,1807.38,USD,06/10/2021,
00,,JBL-KME-SO-0610-4768,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,260.36,USD,06/10/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,06/10/2021,
00,,M1A2780,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,969.53,USD,06/10/2021,
00,,PO2001001519,555J,ALJABA,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,05/10/2021,
00,,KME07-2021,530F,REG,Ragab Motors Co.,sgebeily,In-Process,0.00,USD,05/10/2021,
00,,M1AXXXX,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/10/2021,
00,,KME/2021465/EMS ,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,TONY,In-Process,219.22,USD,04/10/2021,
00,,KME Scrap (Quality ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,605408.16,USD,28/09/2021,
00,,M1A2770,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,28/09/2021,
00,,MOD-Batch 2,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,5158.19,USD,27/09/2021,
00,,168-2021,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,0.00,USD,25/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,23/09/2021,
00,,CED/SER/003/21,522K,SBPSRV,Saud Bahwan Projects and Equipment LLC,TONY,In-Process,15407.75,USD,23/09/2021,
00,,KME-SRV-220921,9961S,REG,KME SERVICE,TONY,In-Process,3144.18,USD,22/09/2021,
00,,Scrap (Quality Prob ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,0.00,USD,22/09/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,21/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,21/09/2021,
00,,KME-SRV-200921,9961S,REG,KME SERVICE,TONY,In-Process,4240.91,USD,20/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,19/09/2021,
00,,C-2987,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,5023.61,USD,19/09/2021,
00,,M1A2728,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,15/09/2021,
00,,M1A2722,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,17869.96,USD,15/09/2021,
00,,158-2021,530L,EMIMOD,Egyptian International Motors Company,rmoustafa,In-Process,65328.10,USD,14/09/2021,
00,,KME Scrap ( Quality ,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA ,In-Process,0.00,USD,12/09/2021,
00,,DTDC-12-09-21,9961T,REG,KME TRAINING DEPT,TONY,In-Process,292.85,USD,12/09/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,12/09/2021,
00,,DTDC-21-09-09,9961T,REG,KME TRAINING DEPT,tony,In-Process,0.00,USD,09/09/2021,
00,,PO2201001341,555J,ALJDMM,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,0.00,USD,08/09/2021,
00,,M,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,07/09/2021,
00,,KME-SRV-060921,9961S,REG,KME SERVICE,tony,In-Process,11198.30,USD,06/09/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,05/09/2021,
00,,M1A2694,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,02/09/2021,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/09/2021,
00,,KME-SRV-010921,9961S,REG,KME SERVICE,TONY,In-Process,11198.30,USD,01/09/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,11228.40,USD,24/08/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,622.63,USD,24/08/2021,
00,,TM-OV-2MQ,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,IRENE,In-Process,77036.46,USD,10/08/2021,
00,,C-1050,536C,GTHESR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,10/08/2021,
00,,KME06-2021,530F,REG,Ragab Motors Co.,sgebeily,In-Process,0.00,USD,10/08/2021,
00,,134-2021,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,59.91,USD,10/08/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/08/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,899.59,USD,29/07/2021,
00,,OFFER,575N,REG,THE NEAR EAST EQUIPMENT COMPANY,btaleb,In-Process,0.00,USD,28/07/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,25/07/2021,
00,,C-1702,536C,GTHEAQ,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,515.29,USD,12/07/2021,
00,,xx,522K,SBPVIP,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/07/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,11/07/2021,
00,,PO2001000547,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,0.00,USD,08/07/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,4174.26,USD,07/07/2021,
00,,TEST,536C,GTHESR,Galadari Trucks & Heavy Equipment,MALIK,In-Process,0.00,USD,07/07/2021,
00,,PO2001000491,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,151.49,USD,05/07/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,0.00,USD,04/07/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,874.11,USD,04/07/2021,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/07/2021,
00,,TEST,536C,REG,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,01/07/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/07/2021,
00,,REIN-filter kit supp,DS01,REG,KME - DISCREPANCY /SHORTAGE,ANNALIZA,In-Process,18763.13,USD,01/07/2021,
00,,TEST,536C,GTHEGR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,01/07/2021,
00,,FY2021 KME Scrap Act,IM01,REG,IMDAAD L.L.C.,ANNALIZA,In-Process,0.00,USD,30/06/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,38909.37,USD,29/06/2021,
00,,,530L,REG,Egyptian International Motors Company,rmoustafa,In-Process,38909.37,USD,29/06/2021,
00,,PO2001000425,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,agafoor-j,In-Process,25.19,USD,29/06/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,29/06/2021,
00,,JBL-KME-EO-2906-4634,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,340.14,USD,29/06/2021,
00,,JBL-KME-SA-2906-4632,5241,REG,JAFFER BROTHERS (PVT) LIMITED,sashar,In-Process,32.16,USD,29/06/2021,
00,,PO2001000415,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,3.35,USD,28/06/2021,
00,,PO2001000413,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,92.76,USD,28/06/2021,
00,,xx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,22/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,448.26,USD,21/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,20/06/2021,
00,,kitting-061221,9961S,REG,KME SERVICE,maria,In-Process,0.00,USD,12/06/2021,
00,,PO2001000237,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,09/06/2021,
00,,W-970,536C,REG,Galadari Trucks & Heavy Equipment,akulkarni,In-Process,0.00,USD,07/06/2021,
00,,reserved-2nd,9961S,REG,KME SERVICE,maria,In-Process,0.00,USD,06/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,03/06/2021,
00,,PO2201000281,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,03/06/2021,
00,,12345,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,02/06/2021,
00,,XX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,01/06/2021,
00,,RESERVE QTY,9961S,REG,KME SERVICE,maria,In-Process,0.00,USD,01/06/2021,
00,,XXXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,30/05/2021,
00,,M1A2418,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,2145.00,USD,27/05/2021,
00,,XXX,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,27/05/2021,
00,,PO2201000219,555J,ALJRYD,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,432.57,USD,25/05/2021,
00,,M1A2405,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,24/05/2021,
00,,R00083,536C,REG,Galadari Trucks & Heavy Equipment,ANNALIZA,In-Process,0.00,USD,19/05/2021,
00,,test,536C,REG,Galadari Trucks & Heavy Equipment,MALIK,In-Process,4215.81,USD,18/05/2021,
00,,xxx,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,17/05/2021,
00,,W-502,536C,GTHEGR,Galadari Trucks & Heavy Equipment,jamaluddin,In-Process,0.00,USD,16/05/2021,
00,,M1A2383,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,10/05/2021,
